id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1293647779542306816,1293643821931040768,2020-08-12 16:37:20 EDT,2020-08-12,16:37:20,-0400,1886919373,howardsteele5,Howard Steele,,"@KamVTV #HarrisBiden2020 is openly RECRUITING VIOLENT ANTIFA to become Seattle, Portland or San Fran. You can't make this stuff up.  @FoxNews @tedcruz @TuckerCarlson @seanhannity @PressSec @realDonaldTrump @OANN @greggutfeld @DonaldJTrumpJr @JennaEllisEsq  @wsj https://t.co/vqNxBQ8noz",en,"['kamvtv', 'foxnews', 'tedcruz', 'tuckercarlson', 'seanhannity', 'presssec', 'realdonaldtrump', 'oann', 'greggutfeld', 'donaldjtrumpjr', 'jennaellisesq', 'wsj']",['http://antifa.com'],[],0,4,0,['harrisbiden2020'],[],https://twitter.com/HowardSteele5/status/1293647779542306816,,,0,,,,,,,,"{'user_id': '3995778614', 'username': 'KamVTV'}",,,,
1293647439279411205,1293647439279411205,2020-08-12 16:35:58 EDT,2020-08-12,16:35:58,-0400,15029085,sethweathers,SETH WEATHERS,,When you go to https://t.co/8xUsQqMV2A it takes you to the official Biden campaign website.,en,[],['http://ANTIFA.com'],[],10,24,36,[],[],https://twitter.com/sethweathers/status/1293647439279411205,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1293646996646121472,1293646996646121472,2020-08-12 16:34:13 EDT,2020-08-12,16:34:13,-0400,27653101,anthonywhitetx,Anthony White,,Go to https://t.co/drMLmm0qPa and see what website comes up. 😳😳😳,en,[],['http://antifa.com'],[],3,0,5,[],[],https://twitter.com/AnthonyWhiteTX/status/1293646996646121472,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1293646258301808640,1293646258301808640,2020-08-12 16:31:17 EDT,2020-08-12,16:31:17,-0400,240802366,starforcehh,Freemason,,@JoeBiden are you aware that https://t.co/Nw7MeGJDyk goes to your website? @realDonaldTrump @DonaldJTrumpJr @KatTimpf @kimguilfoyle @TuckerCarlson @seanhannity @BarackObama hahah,en,"['joebiden', 'realdonaldtrump', 'donaldjtrumpjr', 'kattimpf', 'kimguilfoyle', 'tuckercarlson', 'seanhannity', 'barackobama']",['http://Antifa.com'],[],0,0,1,[],[],https://twitter.com/STARFORCEHH/status/1293646258301808640,,,0,,,,,,,,"{'user_id': '939091', 'username': 'JoeBiden'}",,,,
1293645868839522304,1293639077762408449,2020-08-12 16:29:44 EDT,2020-08-12,16:29:44,-0400,1266445093663199233,timuywa,Tim Uy 🇺🇸🌲🚀,,"@C8red8r WhoIsGuard Protected means the owner and location are blocked. Will need to get WhoIs history. Would have been purchased a while ago...

Check old copies, see if pranksters own or true antifa followers.

https://t.co/6fuqdQExjD",en,['c8red8r'],['http://web.archive.org/web/*/antifa.com'],[],1,0,1,[],[],https://twitter.com/TimUyWA/status/1293645868839522304,,,0,,,,,,,,"{'user_id': '833652859929559040', 'username': 'C8red8r'}",,,,
1293643821931040768,1293643821931040768,2020-08-12 16:21:36 EDT,2020-08-12,16:21:36,-0400,3995778614,kamvtv,Kambree,,"When you put in https://t.co/VSnQTHV7A4 it pulls up the Harris-Biden campaign site. Who did this? 

https://t.co/4BaApOOLsJ",en,[],"['http://antifa.com', 'http://www.antifa.com']",[],146,703,1286,[],[],https://twitter.com/KamVTV/status/1293643821931040768,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1293643387032072192,1293643387032072192,2020-08-12 16:19:52 EDT,2020-08-12,16:19:52,-0400,2410068528,aubrey_huff,Aubrey Huff,,Google https://t.co/MvpUcx5yGh &amp; let me know what you find out.,en,[],['http://antifa.com'],[],871,1214,4131,[],[],https://twitter.com/aubrey_huff/status/1293643387032072192,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1293636430800064514,1293636430800064514,2020-08-12 15:52:14 EDT,2020-08-12,15:52:14,-0400,21150492,junkscience,Steve Milloy,,https://t.co/V6ckeB4nWT takes you to https://t.co/Gj0yzOQMvp... although it really should be the other way around.,en,[],"['http://Antifa.com', 'http://JoeBiden.com']",[],2,8,24,[],[],https://twitter.com/JunkScience/status/1293636430800064514,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1287419277138628608,1287363883007651840,2020-07-26 12:07:29 EDT,2020-07-26,12:07:29,-0400,362033655,jornalismowando,JornalismoWando,,"@chaplin_antifa com certeza, não. Foi justamente a falta dele que ajudou a eleger Bolsonaro na última eleição.",pt,['chaplin_antifa'],[],[],2,0,9,[],[],https://twitter.com/JornalismoWando/status/1287419277138628608,,,0,,,,,,,,"{'user_id': '1074775266139037696', 'username': 'chaplin_antifa'}",,,,
1286441071543750664,1286441071543750664,2020-07-23 19:20:27 EDT,2020-07-23,19:20:27,-0400,1540034828,midianinja,Mídia NINJA,,"Começa agora Ronda Antifa com os Policiais Antifascismo! O programa de hoje fala sobre criminalização do funk e cultura negra, assista!

https://t.co/m99F1arNk6",pt,[],['https://youtu.be/iCntd0Q1ayg'],[],0,1,27,[],[],https://twitter.com/MidiaNINJA/status/1286441071543750664,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
