id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1293687994210226176,1293321223649341441,2020-08-12 19:17:08 EDT,2020-08-12,19:17:08,-0400,1249081202306400257,touchdowney1,Touchdowney,,@AntifaWebsite You’re not fearlessly doing anything.  You’re a bunch of cowards that won’t show your faces or confront anyone without a crew behind you.,en,['antifawebsite'],[],[],0,0,16,[],[],https://twitter.com/Touchdowney1/status/1293687994210226176,,,0,,,,,,,,"{'user_id': '1249935052315779073', 'username': 'AntifaWebsite'}",,,,
1293687859023577088,1293686275824848896,2020-08-12 19:16:35 EDT,2020-08-12,19:16:35,-0400,336247868,realkarla1992,Karla 🇺🇸,,@JackPosobiec @AntifaWebsite https://t.co/ctAraUGaVE,und,"['jackposobiec', 'antifawebsite']",[],['https://pbs.twimg.com/media/EfQaP8eWoAEnR-e.jpg'],0,0,2,[],[],https://twitter.com/RealKarla1992/status/1293687859023577088,,,1,https://pbs.twimg.com/media/EfQaP8eWoAEnR-e.jpg,,,,,,,"{'user_id': '336247868', 'username': 'RealKarla1992'}",,,,
1293687723648319491,1293321223649341441,2020-08-12 19:16:03 EDT,2020-08-12,19:16:03,-0400,1287772328676462598,john_chungus,Bit Chungus,,@AntifaWebsite Buttplug grenades and Dildo assault rifles are your weapons of choice... lmao,en,['antifawebsite'],[],[],0,0,5,[],[],https://twitter.com/john_chungus/status/1293687723648319491,,,0,,,,,,,,"{'user_id': '1249935052315779073', 'username': 'AntifaWebsite'}",,,,
1293687672343539714,1293686275824848896,2020-08-12 19:15:51 EDT,2020-08-12,19:15:51,-0400,336247868,realkarla1992,Karla 🇺🇸,,@JackPosobiec @AntifaWebsite Also it appears it was bought sometime after January. It also was a legitimate website for a few months. https://t.co/kM0Aoz4IUg,en,"['jackposobiec', 'antifawebsite']",[],['https://pbs.twimg.com/media/EfQaFBMX0AAwVHG.jpg'],1,0,0,[],[],https://twitter.com/RealKarla1992/status/1293687672343539714,,,1,https://pbs.twimg.com/media/EfQaFBMX0AAwVHG.jpg,,,,,,,"{'user_id': '592730371', 'username': 'JackPosobiec'}",,,,
1293687554672332801,1293686275824848896,2020-08-12 19:15:23 EDT,2020-08-12,19:15:23,-0400,708794464635101184,allen_hallock,Making America GREAT,,@JackPosobiec @AntifaWebsite I'm getting this... https://t.co/uJy1A6Bux7,en,"['jackposobiec', 'antifawebsite']",[],['https://pbs.twimg.com/media/EfQZ-PmWkAAVHwk.jpg'],2,0,4,[],[],https://twitter.com/allen_hallock/status/1293687554672332801,,,1,https://pbs.twimg.com/media/EfQZ-PmWkAAVHwk.jpg,,,,,,,"{'user_id': '592730371', 'username': 'JackPosobiec'}",,,,
1293687507796844550,1293321223649341441,2020-08-12 19:15:12 EDT,2020-08-12,19:15:12,-0400,939621214670196736,realericdaugh,Eric Daugherty,,@AntifaWebsite https://t.co/2w30icqbBN,und,['antifawebsite'],[],['https://pbs.twimg.com/media/EfQZ7lZXoAAr8FX.jpg'],0,0,3,[],[],https://twitter.com/realEricDaugh/status/1293687507796844550,,,1,https://pbs.twimg.com/media/EfQZ7lZXoAAr8FX.jpg,,,,,,,"{'user_id': '1249935052315779073', 'username': 'AntifaWebsite'}",,,,
1293687507394138112,1293686275824848896,2020-08-12 19:15:11 EDT,2020-08-12,19:15:11,-0400,1216193736499134466,joshpet15172472,Josh Peters,,@realEricDaugh @JackPosobiec @AntifaWebsite Looks like its been taken down,en,"['realericdaugh', 'jackposobiec', 'antifawebsite']",[],[],0,0,0,[],[],https://twitter.com/JoshPet15172472/status/1293687507394138112,,,0,,,,,,,,"{'user_id': '939621214670196736', 'username': 'realEricDaugh'}",,,,
1293687490080112644,1293321223649341441,2020-08-12 19:15:07 EDT,2020-08-12,19:15:07,-0400,1274837109346635778,propertytaxcap1,MANSPLAINING IS HOT 🔥🔥❤️❤️🇺🇸🇺🇸,,@AntifaWebsite Do you like to eat out of dumpsters?! you are turning the US into Bernies utopia Venezuela  good work! I will be sure to throw you some scraps when I drive by / trickle down economics ! Your group is getting trump re-elected thanks 😊,en,['antifawebsite'],[],[],0,0,1,[],[],https://twitter.com/Propertytaxcap1/status/1293687490080112644,,,0,,,,,,,,"{'user_id': '1249935052315779073', 'username': 'AntifaWebsite'}",,,,
1293687404730228736,1293321223649341441,2020-08-12 19:14:47 EDT,2020-08-12,19:14:47,-0400,1633694935,atouk_zug,atouk🇺🇸,,"@AntifaWebsite ""The little guy""

Like all the little guys (and gals) that owned small businesses that you looted, vandalized or torched?

Those little guys?*

*And gals.",en,['antifawebsite'],[],[],0,0,10,[],[],https://twitter.com/atouk_zug/status/1293687404730228736,,,0,,,,,,,,"{'user_id': '1249935052315779073', 'username': 'AntifaWebsite'}",,,,
1293687373109190656,1293686275824848896,2020-08-12 19:14:39 EDT,2020-08-12,19:14:39,-0400,843223302579601409,beehive1027,🇺🇸 Ray,,@JackPosobiec @AntifaWebsite I was on many Antifa and BLM accounts last night and noticed a lot of hate over Biden picking Harris,en,"['jackposobiec', 'antifawebsite']",[],[],0,0,2,[],[],https://twitter.com/beehive1027/status/1293687373109190656,,,0,,,,,,,,"{'user_id': '592730371', 'username': 'JackPosobiec'}",,,,
